"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"11/20/2023","AQS","060376012","1","0.1","ppm","1","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/21/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","16","67.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/22/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/23/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/24/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/25/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/26/2023","AQS","060376012","1","0.1","ppm","1","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/27/2023","AQS","060376012","1","0.1","ppm","1","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/28/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/29/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"11/30/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/01/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/02/2023","AQS","060376012","1","0.4","ppm","5","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/03/2023","AQS","060376012","1","0.4","ppm","5","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/04/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/05/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/06/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/07/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/08/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/09/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/10/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/11/2023","AQS","060376012","1","0.5","ppm","6","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"12/12/2023","AQS","060376012","1","0.6","ppm","7","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
